"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2033","Navigation from login page to registration page","LMS system","Tue May 19 10:45:33 UTC 2026","passed","Tue May 19 10:45:35 UTC 2026","Authorization","Authentication","",""
"","1362","Check displaying of dashboard page","LMS system","Tue May 19 10:45:41 UTC 2026","passed","Tue May 19 10:45:42 UTC 2026","Dashboard","Dashboard","",""
"","1570","Check displaying of empty courses list","LMS system","Tue May 19 10:45:36 UTC 2026","passed","Tue May 19 10:45:37 UTC 2026","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Tue May 19 10:45:40 UTC 2026","passed","Tue May 19 10:45:40 UTC 2026","TestUserInterface","test_markers","",""
"","0","test_regression_case","tests.pytest","Tue May 19 10:45:40 UTC 2026","passed","Tue May 19 10:45:40 UTC 2026","","test_markers","",""
"","2666","User login with correct email and password","LMS system","Tue May 19 10:45:29 UTC 2026","passed","Tue May 19 10:45:31 UTC 2026","Authorization","Authentication","",""
"","2234","Edit course","LMS system","Tue May 19 10:45:38 UTC 2026","passed","Tue May 19 10:45:41 UTC 2026","Courses","Courses","",""
"","0","test_login","tests.pytest","Tue May 19 10:45:40 UTC 2026","passed","Tue May 19 10:45:40 UTC 2026","TestUserAuthentication","test_markers","",""
"","2182","Create course","LMS system","Tue May 19 10:45:38 UTC 2026","passed","Tue May 19 10:45:40 UTC 2026","Courses","Courses","",""
"","1421","User login with wrong email or password","LMS system","Tue May 19 10:45:31 UTC 2026","passed","Tue May 19 10:45:32 UTC 2026","Authorization","Authentication","",""
"","1874","User login with wrong email or password","LMS system","Tue May 19 10:45:29 UTC 2026","passed","Tue May 19 10:45:31 UTC 2026","Authorization","Authentication","",""
"","1321","User login with wrong email or password","LMS system","Tue May 19 10:45:32 UTC 2026","passed","Tue May 19 10:45:33 UTC 2026","Authorization","Authentication","",""
"","1922","User registration with correct email, username and password","LMS system","Tue May 19 10:45:35 UTC 2026","passed","Tue May 19 10:45:37 UTC 2026","Registration","Authentication","",""
"","0","test_password_reset","tests.pytest","Tue May 19 10:45:40 UTC 2026","passed","Tue May 19 10:45:40 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Tue May 19 10:45:40 UTC 2026","passed","Tue May 19 10:45:40 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Tue May 19 10:45:40 UTC 2026","passed","Tue May 19 10:45:40 UTC 2026","","test_markers","",""
